"Date Time, GMT-07:00",y
2023-06-15 15:00:10,2177
2023-06-15 16:00:10,2174
2023-06-15 17:00:10,2176
2023-06-15 18:00:10,2163
2023-06-15 19:00:11,2157
2023-06-15 20:00:11,2152
2023-06-15 21:00:11,2147
2023-06-15 22:00:11,2140
2023-06-15 23:00:11,2141
2023-06-16 00:00:11,-1
2023-06-16 05:00:11,-1
2023-06-16 07:00:11,-1
2023-06-16 08:00:11,2061
2023-06-16 09:00:11,2049
2023-06-16 10:00:11,2038
2023-06-16 11:00:10,2027
2023-06-16 12:00:10,2016
2023-06-16 13:00:10,1998
2023-06-16 14:00:10,1987
2023-06-16 15:00:10,1958
2023-06-16 16:00:10,1956
2023-06-16 17:00:11,1933
2023-06-16 18:00:11,1920
2023-06-16 19:00:11,1899
2023-06-16 20:00:11,1875
2023-06-16 21:00:11,1854
2023-06-16 22:00:10,1829
2023-06-16 23:00:10,1800
2023-06-17 00:00:10,1775
2023-06-17 04:00:11,1663
2023-06-17 05:00:11,1624
2023-06-17 06:00:11,1576
2023-06-17 07:00:11,1535
