"Date Time, GMT-07:00",y
2023-06-15 15:00:10,2176
2023-06-15 16:00:10,2174
2023-06-15 17:00:10,2174
2023-06-15 18:00:10,2164
2023-06-15 19:00:11,2159
2023-06-15 20:00:11,2152
2023-06-15 21:00:11,2152
2023-06-15 22:00:11,2141
2023-06-15 23:00:11,2143
2023-06-16 00:00:11,2125
2023-06-16 05:00:11,-1
2023-06-16 07:00:11,-1
2023-06-16 08:00:11,2060
2023-06-16 09:00:11,2051
2023-06-16 10:00:11,2041
2023-06-16 11:00:10,2031
2023-06-16 12:00:10,2018
2023-06-16 13:00:10,2001
2023-06-16 14:00:10,1990
2023-06-16 15:00:10,1959
2023-06-16 16:00:10,1957
2023-06-16 17:00:11,1937
2023-06-16 18:00:11,1922
2023-06-16 19:00:11,1902
2023-06-16 20:00:11,1879
2023-06-16 21:00:11,1857
2023-06-16 22:00:10,1830
2023-06-16 23:00:10,1805
2023-06-17 00:00:10,1779
2023-06-17 04:00:11,1663
2023-06-17 05:00:11,1628
2023-06-17 06:00:11,1580
2023-06-17 07:00:11,1540
