"Date Time, GMT-07:00",y
2023-06-15 15:00:10,2180
2023-06-15 16:00:10,2183
2023-06-15 17:00:10,2178
2023-06-15 18:00:10,-1
2023-06-15 19:00:11,-1
2023-06-15 20:00:11,-1
2023-06-15 21:00:11,2159
2023-06-15 22:00:11,2142
2023-06-15 23:00:11,2139
2023-06-16 00:00:11,-1
2023-06-16 05:00:11,-1
2023-06-16 07:00:11,2082
2023-06-16 08:00:11,2067
2023-06-16 09:00:11,2063
2023-06-16 10:00:11,2048
2023-06-16 11:00:10,2040
2023-06-16 12:00:10,2024
2023-06-16 13:00:10,2009
2023-06-16 14:00:10,1998
2023-06-16 15:00:10,1960
2023-06-16 16:00:10,1974
2023-06-16 17:00:11,1952
2023-06-16 18:00:11,1929
2023-06-16 19:00:11,1913
2023-06-16 20:00:11,1886
2023-06-16 21:00:11,1867
2023-06-16 22:00:10,1841
2023-06-16 23:00:10,1814
2023-06-17 00:00:10,1788
2023-06-17 04:00:11,1663
2023-06-17 05:00:11,1638
2023-06-17 06:00:11,1594
2023-06-17 07:00:11,1550
