"Date Time, GMT-07:00",y
2023-06-15 15:00:10,2182
2023-06-15 16:00:10,2184
2023-06-15 17:00:10,2181
2023-06-15 18:00:10,-1
2023-06-15 19:00:11,-1
2023-06-15 20:00:11,-1
2023-06-15 21:00:11,2161
2023-06-15 22:00:11,2142
2023-06-15 23:00:11,2140
2023-06-16 00:00:11,-1
2023-06-16 05:00:11,-1
2023-06-16 07:00:11,2083
2023-06-16 08:00:11,2068
2023-06-16 09:00:11,2065
2023-06-16 10:00:11,2049
2023-06-16 11:00:10,2041
2023-06-16 12:00:10,2025
2023-06-16 13:00:10,2010
2023-06-16 14:00:10,2004
2023-06-16 15:00:10,1962
2023-06-16 16:00:10,1977
2023-06-16 17:00:11,1953
2023-06-16 18:00:11,1930
2023-06-16 19:00:11,1914
2023-06-16 20:00:11,1887
2023-06-16 21:00:11,1867
2023-06-16 22:00:10,1842
2023-06-16 23:00:10,1815
2023-06-17 00:00:10,1789
2023-06-17 04:00:11,1663
2023-06-17 05:00:11,1639
2023-06-17 06:00:11,1595
2023-06-17 07:00:11,1551
